Kab/Kota;Provinsi;Kategori;Divaksin_2
Kab.Pringsewu;Lampung;1;15
Kab.Pringsewu;Lampung;4;1
Kab.Pringsewu;Lampung;1;111
Kab.Pringsewu;Lampung;3;49
Kab.Pringsewu;Lampung;6;0
Kab.Pringsewu;Lampung;6;0
Kab.Pringsewu;Lampung;4;1
Kab.Pringsewu;Lampung;1;87
Kab.Pringsewu;Lampung;4;0
Kab.Pringsewu;Lampung;1;24
Kab.Pringsewu;Lampung;6;0
Kab.Pringsewu;Lampung;6;0
Kab.Pringsewu;Lampung;4;0
Kab.Pringsewu;Lampung;1;0
Kab.Pringsewu;Lampung;6;1
Kab.Pringsewu;Lampung;6;0
Kab.Pringsewu;Lampung;6;1
Kab.Pringsewu;Lampung;6;3
Kab.Pringsewu;Lampung;6;11
Kab.Pringsewu;Lampung;4;20
Kab.Pringsewu;Lampung;1;0
Kab.Pringsewu;Lampung;1;10
Kab.Pringsewu;Lampung;6;6
Kab.Pringsewu;Lampung;6;80
Kab.Pringsewu;Lampung;6;0
Kab.Pringsewu;Lampung;1;1
Kab.Pringsewu;Lampung;3;1
Kab.Pringsewu;Lampung;3;12
Kab.Pringsewu;Lampung;4;1
Kab.Pringsewu;Lampung;4;1
Kab.Pringsewu;Lampung;4;21
Kab.Pringsewu;Lampung;4;3
Kab.Pringsewu;Lampung;1;77
Kab.Pringsewu;Lampung;6;3
Kab.Pringsewu;Lampung;6;0
Kab.Pringsewu;Lampung;3;5
Kab.Pringsewu;Lampung;3;0
Kab.Pringsewu;Lampung;3;12
Kab.Pringsewu;Lampung;3;7
Kab.Pringsewu;Lampung;3;2
Kab.Pringsewu;Lampung;3;0
Kab.Pringsewu;Lampung;3;0
Kab.Pringsewu;Lampung;4;0
Kab.Pringsewu;Lampung;4;0
Kab.Pringsewu;Lampung;4;0
Kab.Pringsewu;Lampung;4;0
Kab.Pringsewu;Lampung;4;0
Kab.Pringsewu;Lampung;4;0
Kab.Pringsewu;Lampung;4;0
Kab.Pringsewu;Lampung;4;25
Kab.Pringsewu;Lampung;1;0
Kab.Pringsewu;Lampung;1;0
Kab.Pringsewu;Lampung;1;1
Kab.Pringsewu;Lampung;1;0
Kab.Pringsewu;Lampung;1;0
Kab.Pringsewu;Lampung;1;2
Kab.Pringsewu;Lampung;1;12
Kab.Pringsewu;Lampung;4;1
Kab.Pringsewu;Lampung;4;24
Kab.Pringsewu;Lampung;4;16
Kab.Pringsewu;Lampung;4;94
Kab.Pringsewu;Lampung;4;19
Kab.Pringsewu;Lampung;4;2
Kab.Pringsewu;Lampung;4;1
Kab.Pringsewu;Lampung;4;11
Kab.Pringsewu;Lampung;4;2
Kab.Pringsewu;Lampung;4;4
Kab.Pringsewu;Lampung;4;1
Kab.Pringsewu;Lampung;4;1
Kab.Pringsewu;Lampung;4;6
Kab.Pringsewu;Lampung;3;0
Kab.Pringsewu;Lampung;1;2
Kab.Pringsewu;Lampung;1;4
Kab.Pringsewu;Lampung;1;58
Kab.Pringsewu;Lampung;5;2
Kab.Pringsewu;Lampung;5;0
Kab.Pringsewu;Lampung;5;1
Kab.Pringsewu;Lampung;5;15
Kab.Pringsewu;Lampung;5;6
Kab.Pringsewu;Lampung;5;0
Kab.Pringsewu;Lampung;5;0
Kab.Pringsewu;Lampung;5;0
Kab.Pringsewu;Lampung;5;26
Kab.Pringsewu;Lampung;5;84
Kab.Pringsewu;Lampung;5;11
Kab.Pringsewu;Lampung;4;0
Kab.Pringsewu;Lampung;4;0
Kab.Pringsewu;Lampung;4;0
Kab.Pringsewu;Lampung;4;3
Kab.Pringsewu;Lampung;4;11
Kab.Pringsewu;Lampung;4;0
Kab.Pringsewu;Lampung;4;1
Kab.Pringsewu;Lampung;4;0
Kab.Pringsewu;Lampung;4;0
Kab.Pringsewu;Lampung;1;14
Kab.Pringsewu;Lampung;1;56
Kab.Pringsewu;Lampung;6;0
Kab.Pringsewu;Lampung;3;32
Kab.Pringsewu;Lampung;3;8
Kab.Pringsewu;Lampung;3;4
